Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1059767062189238.jpg,"[46, 58, 102]",40.51,"[233, 215, 211]",10.91,"[90, 101, 143]",32.2,3819,"[90.38385555555556, 90.17283333333333, 120.89324444444445]"
1062172021964595.jpg,"[22, 30, 79]",54.64,"[242, 240, 241]",7.25,"[150, 65, 65]",5.67,4123,"[68.83987777777777, 69.58137777777777, 111.16184444444444]"
1063041198773696.jpg,"[230, 173, 55]",5.45,"[31, 43, 87]",29.85,"[220, 218, 239]",24.34,4923,"[122.13978888888889, 124.75614444444444, 161.74337777777777]"
1063279058516727.jpg,"[203, 33, 50]",1.98,"[36, 34, 76]",43.31,"[245, 246, 248]",9.29,3768,"[87.04918888888889, 85.19205555555556, 123.20456666666666]"
1063816745262084.jpg,"[82, 75, 84]",40.95,"[226, 198, 190]",7.41,"[28, 26, 33]",28.17,4860,"[97.72862222222223, 85.88421111111111, 86.85656666666667]"
1065431425154660.jpg,"[185, 142, 129]",9.7,"[33, 47, 109]",53.0,"[243, 243, 246]",10.04,3019,"[75.17405555555555, 79.63076666666667, 122.86945555555556]"
1066142398183077.jpg,"[246, 245, 245]",10.34,"[23, 29, 48]",29.75,"[147, 174, 202]",20.66,4668,"[101.65193333333333, 109.15165555555555, 121.5282888888889]"
1068627401558498.jpg,"[61, 65, 119]",28.21,"[205, 210, 228]",10.47,"[206, 37, 50]",12.1,3524,"[97.13055555555556, 80.41547777777778, 126.05996666666667]"
1070040538173125.jpg,"[131, 127, 153]",27.69,"[41, 49, 86]",48.4,"[244, 246, 248]",7.03,4128,"[101.24457777777778, 97.57165555555555, 122.94571111111111]"
1070905657886262.jpg,"[63, 75, 138]",48.74,"[247, 238, 235]",7.42,"[145, 71, 67]",6.7,3672,"[78.37461111111111, 76.9306, 113.14923333333333]"
1070521087923522.jpg,"[135, 91, 83]",13.04,"[193, 170, 165]",14.73,"[232, 240, 244]",30.34,4202,"[134.26205555555555, 144.28331111111112, 145.79154444444444]"
1072887474502006.jpg,"[92, 104, 147]",33.02,"[197, 194, 198]",15.74,"[249, 190, 16]",4.08,5116,"[101.45337777777777, 96.58426666666666, 104.59313333333333]"
1073271414168689.jpg,"[239, 241, 244]",55.06,"[206, 41, 51]",10.35,"[155, 147, 151]",13.06,2906,"[205.0295888888889, 188.80483333333333, 195.71983333333333]"
1073359577761486.jpg,"[189, 169, 171]",6.87,"[55, 54, 89]",30.22,"[118, 86, 115]",30.37,4911,"[87.94512222222222, 77.14737777777778, 104.03927777777778]"
1075118800713438.jpg,"[195, 173, 176]",8.63,"[40, 49, 86]",48.28,"[244, 246, 248]",7.04,4128,"[101.24457777777778, 97.57165555555555, 122.94571111111111]"
1078357660303794.jpg,"[89, 64, 84]",28.85,"[224, 182, 170]",6.15,"[137, 118, 138]",32.55,4625,"[104.99041111111111, 88.9166, 104.95003333333334]"
1077383940611944.jpg,"[41, 52, 90]",35.29,"[243, 242, 241]",12.75,"[179, 135, 111]",11.49,4729,"[111.65698888888889, 115.4669, 124.7638]"
1079371206858014.jpg,"[23, 41, 95]",30.38,"[233, 244, 252]",38.99,"[205, 32, 47]",10.7,2758,"[138.9720888888889, 132.35972222222222, 162.0828]"
1082045326588994.jpg,"[76, 88, 157]",19.71,"[220, 218, 239]",24.25,"[31, 43, 88]",29.95,4923,"[122.13978888888889, 124.75614444444444, 161.74337777777777]"
1084045569899107.jpg,"[62, 77, 144]",21.85,"[143, 145, 202]",25.51,"[216, 213, 237]",21.88,4806,"[123.33383333333333, 123.49634444444445, 150.41825555555556]"
1083551356413124.jpg,"[106, 122, 146]",12.78,"[212, 237, 246]",33.95,"[12, 19, 38]",27.33,4505,"[112.764, 124.2577, 139.97756666666666]"
1091852939023046.jpg,"[188, 12, 20]",36.01,"[253, 253, 252]",18.58,"[228, 159, 158]",2.37,1875,"[211.661, 68.96814444444445, 77.01907777777778]"
1091997129029517.jpg,"[216, 213, 236]",22.17,"[23, 33, 58]",22.37,"[245, 186, 26]",8.29,4806,"[123.33383333333333, 123.49634444444445, 150.41825555555556]"
1107102897652318.jpg,"[74, 85, 140]",27.94,"[243, 242, 244]",9.04,"[19, 24, 52]",28.36,4427,"[75.8792888888889, 78.10466666666666, 110.6891]"
1123991055753364.jpg,"[21, 25, 54]",35.9,"[195, 83, 61]",11.52,"[242, 241, 243]",11.03,3720,"[90.58212222222222, 85.77381111111112, 101.18821111111112]"
1097719238578657.jpg,"[239, 241, 244]",57.97,"[170, 136, 142]",7.55,"[207, 36, 48]",13.32,2963,"[210.62564444444445, 186.9060111111111, 193.82125555555555]"
